店名,營業時間,連絡電話,區域,地址,評論
阿成炒麵,06:30～13:00（每週日、一公休）,無,大里區,台中市大里區益民路二段238號,如果提到台中炒麵，不少大里的朋友都會推薦這間阿成炒麵，阿成炒麵位在益民路與東榮路交叉口附近，距離興大附中也相當近，可以說是在地人早午餐的首選之一，生意十分不錯，用餐尖峰時段甚至還要排隊呢！
晨光手作料理坊,每日09:30～15:30,04-2496-5536,大里區,台中市大里區大里路59之3號,上千則評論高達4.9星的超人氣早午餐晨光手作料理坊，有早午餐、排餐、義大利麵、沙拉、燉飯，餐點選擇非常多樣化，能一次滿足長輩、小孩們的口味，難怪很受在地人喜愛，點冬瓜茶還可以續杯，停車也方便，推薦大家來試試～
甌森廚房,06:30～14:00（每週四公休）,04-2407-3122,大里區,台中市大里區國光路二段145號,不論是想吃個豐盛的早午套餐，還是來點蛋餅、漢堡、沙拉、炸物小點心果腹，甌森廚房一應俱全，價格也不算太貴，用餐空間舒適還提供免費無線網路，鄰近國光花市、大里運動公園，吃完就可以到附近走走挺便利的，同時也是寵物友善餐廳喔~
台中燒餅油條30年老店,每日05:30～10:30,04-2278-8453,太平區,台中市太平區太平路318號,主打傳統早餐，吃的到燒餅油條外，還有鍋貼、水煎包等，想在早上飽餐一頓絕對沒問題，不僅這樣台中燒餅油條30年老店價格超級便宜，CP值超級高～
炭騷超營養烤吐司,06:30～11:30（每週二、六公休）,0918-374-355,太平區,台中市太平區樹孝路196號,店家雞腿醃漬過處理，不用擔心沒味道，而吐司的配料有番茄、生菜、蛋等，而吐司部分有碳烤過，所有著一定的香氣，一大口吃得爽度一百，雞腿香氣相當濃郁，鹹味被番茄跟生菜綜合掉，所以不擔心死鹹，而店家最後撒上的胡椒粒讓豐富的味道迷人。
郭阿姨飯糰,05:30～11:00（每週三公休）,無,太平區,台中市太平區太平路406號322號&太平二十街口,經營了30年老店，價格相當平易近人，米飯吃起來Q彈，搭著配料可是滿滿的豐富，這間郭阿姨飯糰可是在太平陪伴不少人從小吃到大的太平早餐。
集瀧塘豆漿,06:30～14:00（每週一公休）,04-2291-9607,北屯區,台中市北屯區大鵬路40號,水湳市場旁的「集瀧塘豆漿」是在地超人氣的傳統早餐店，賣的都是中式傳統餐點為主，有水煎包、功夫煎肉包、蔥蛋餅、蔥大餅、甜酥餅、鍋貼、蘿蔔糕…等，堆成像小山一樣，看起來非常誘人。
肉蛋吐司紅茶牛奶,每日06:30～13:30,0938-288-060,北區,台中市北區中華路二段199-4號,肉蛋吐司紅茶牛奶就位於中友百貨及一中街附近，主打碳烤招牌肉但吐司！用炭火烤的微焦酥脆的吐司，塗抹上一層薄薄的美乃滋，夾入微厚煎至如同玉子燒般蓬鬆軟嫩的散蛋，與經過特製醬料醃漬過的大塊肉排，令人一口接著一口停不下來！
森沐MSM（原早安森沐）,09:00～15:00，週六、日09:00~17:00（每週二公休）,04-2236-8008,北區,台中市北區益華街79號,若想要放鬆、悠閒的吃一頓精緻豐盛高質感的早午餐，那麼推薦這間「森沐MSM」，隱藏於住宅區的巷弄當中，店內採木質設計裝潢，大片落地玻璃將陽光自然帶入，採光極佳，可一邊眺望街景一邊享用美味餐點。
LOWCA 勞咖,08:30～14:30（每週三公休），週六、日08:30～15:30,0911-487-043,西屯區,台中市西屯區西屯路二段272-18號,大推他們的「根本靈魂伴侶」！！！外皮炸得酥酥脆脆，淋上滿滿的煉乳，咬下去內層是鬆軟的饅頭香氣，每一口都好罪惡，但每一口都捨不得停下來～
