店名,營業時間,連絡電話,區域,地址,評論
新食譜全日餐廳,週一~週日6:30-10:00、11:30-14:00、17:30-21:00,04 2222 5966,中區,台中市中區建國路111號2樓,全天候提供豐富多元的各國風味料理，餐點用料都是高水準，食材很新鮮，吃到飽非常推薦。
澀 Sur-,週三18:00-21:00、週四~週日12:00-14:30、18:00-21:00,04 2226 1816,中區,台中市中區中山路29號3樓,使用台灣在地食材手法呈現，料理有層次，份量也蠻足夠的，貼近平常的小吃風味，值得推薦。
西堤牛排,週一~週五11:30-14:00、17:30-21:00 週六、週日11:00-14:00、17:00-21:00,04 2247 3922,北屯區,台中市北屯區文心路四段695號,餐點品質良好，餐點，氣氛，價格，CP值都很高，味道口感都好吃，牛排很嫩，海陸雙拼也不錯，整個套餐吃下來絕對會很飽。
香妍小館,週四、週五18:30-21:30 週六、週日12:00-15:00、18:30-21:30,04 2203 0227,北區,台中市北區梅亭街386號,全預約制，餐點很好吃，份量又多，值得5顆星。是一間熱情又溫馨的家庭式餐廳。
鹽之華法國餐廳,週三~週五18:00-22:00 週六、週日12:00-15:00、18:00-22:00,04 2252 0991,西屯區,台中市西屯區市政路581-1號,在整體菜色方面有一定的水準，名副其實的米其林餐廳，絕對會讓人再想去嚐一次或者更多次。
forchetta 餐廳,週一~週日12:00-14:30、18:00-21:30,04 2255 8111,西屯區,台中市西屯區惠中六街15號2樓,非常棒的地中海無菜單料理，搭配的葡萄酒CP值很高，蠻用心的米其林一星，主廚用在地食材做出精緻料理。
元 YUAN 元餐廳,週二~週五18:30-22:00 週六12:00-14:00、18:30-22:00,0966 667 067,西區,台中市西區大墩十二街35號,主要以素食為主，用台式料理去做創意發想，每道菜都很特別，連擺盤跟菜色呈現都很有特色。
脂板前鍋物,週一~週五17:00-23:00 週六、週日12:00-00:00,0909 535 606,西區,台中市西區中美街14號,食材新鮮，肉質鮮美，和牛的香氣很好，入口即化，龍蝦鮮甜，全程由店員幫忙煮，整體是間會讓人想再來的店。
茶六燒肉堂,週一~週日11:00-02:00,04 2328 1167,西區,台中市西區公益路268號,餐點主要是以套餐為主，除了主要燒肉之外，還有沙拉、飯糰、飲品、甜點等，且用料很實在。
饗食天堂,週一~週日11:30–14:00、14:30–16:30、17:30–21:00,04 2211 8111,東區,台中市東區進德路700號3樓,吃到飽，多樣的美食和甜點，品質一直都維持得不錯，菜色也很多元豐富，而且都有水準。
紅花鐵板燒,週一~週日11:30-14:30、17:30-22:00,04 2386 6111,南屯區,台中市南屯區公益路二段759號,食材非常新鮮和高級，擺盤技巧利用醬汁點綴的美侖美煥，鴨肝搭配菜、醬汁、主餐肉品一起享用，整個超讚。
JL STUDIO 現代新加坡料理,週三~週五18:00-22:00 週六、週日12:00-14:30,04 2380 3570,南屯區,台中市南屯區益豐路四段689號2樓,米其林三星，裝潢服務都不錯，菜色口味驚喜好吃，服務生親切專業，食物呈現的方式很讚，海鮮料理的超級好吃。
Luxy Vivid Bistro 餐酒館,週一~週日17:30-03:00,04 2380 8866,南屯區,台中市南屯區公益路二段699號,餐點及調酒都很讚，店裡裝潢也很棒，飯跟濃湯好吃，酒類豐富招待很好，這裡最大的特色是創意料理和特色調酒，適合朋友聚餐。
友利村,週二~週日11:30-15:00,04 2582 6696,新社區,台中市新社區華豐街370號,無菜單料理餐廳，餐具有特色，擺盤用心，餐點清爽好吃，餐點很用心，會季節性更換，非常有質感又高CP值的私廚選擇。
